,AAC,Year,Season,BA,TECH,Cooling
97,0.9615541528788879,2010,Fall,31,gas-CT,NONE
98,0.9192612347826088,2010,Fall,31,o-g-s,RC
99,0.9181005092592592,2010,Fall,32,Coal,RC
100,0.9613867352941176,2010,Fall,32,gas-CT,NONE
101,0.9031452,2010,Fall,32,o-g-s,RC
102,0.9251955102040816,2010,Fall,33,Biopower,RC
103,0.9449630330902664,2010,Fall,33,Coal,RC
104,0.9584253492695116,2010,Fall,33,gas-CC,RC
105,0.9970549523230808,2010,Fall,33,gas-CT,NONE
106,0.5053210307692307,2010,Fall,33,o-g-s,OT
107,0.928858531073446,2010,Fall,33,o-g-s,RC
108,0.9244636918958384,2010,Fall,34,Coal,RC
109,0.8887038808234019,2010,Fall,34,gas-CC,DC
110,0.9398106627783668,2010,Fall,34,gas-CT,NONE
111,0.9286841488673137,2010,Fall,34,o-g-s,RC
112,0.9156137664783428,2010,Fall,35,Coal,OT
113,0.9622474484944532,2010,Fall,35,gas-CT,NONE
114,0.92475,2010,Fall,35,o-g-s,RC
115,0.8219868239936858,2010,Fall,36,Coal,OT
116,0.9350683814657936,2010,Fall,36,Coal,RC
117,0.9748367708333332,2010,Fall,36,gas-CT,NONE
118,0.9299136507936508,2010,Fall,36,o-g-s,RC
119,0.9333849056930266,2010,Fall,37,Coal,RC
120,0.9776019727891156,2010,Fall,37,gas-CT,NONE
121,0.9302417226890756,2010,Fall,37,o-g-s,RC
122,0.9137596610526316,2010,Fall,38,Coal,RC
123,0.9479751481975968,2010,Fall,38,gas-CT,NONE
124,0.8972511203949864,2010,Fall,38,o-g-s,RC
125,0.9559984172661872,2010,Fall,39,gas-CT,NONE
126,0.8950533333333333,2010,Fall,39,o-g-s,RC
127,0.8835452549450549,2010,Fall,40,Coal,OT
128,0.8967105798319328,2010,Fall,40,Coal,RC
129,0.9363735207373272,2010,Fall,40,gas-CC,RC
130,0.9558508979089791,2010,Fall,40,gas-CT,NONE
131,0.8937796891835889,2010,Fall,40,o-g-s,OT
132,0.8988048665275182,2010,Fall,40,o-g-s,RC
133,0.8872212013808976,2010,Fall,41,Coal,OT
134,0.9000001957270848,2010,Fall,41,Coal,RC
135,0.8869086563521774,2010,Fall,41,Nuclear,OT
136,0.9363170752895752,2010,Fall,41,gas-CC,RC
137,0.9439320393603936,2010,Fall,41,gas-CT,NONE
138,0.8980627522935779,2010,Fall,41,o-g-s,RC
139,0.9232747321428572,2010,Fall,42,Biopower,RC
140,0.9690671204188479,2010,Fall,42,gas-CT,NONE
141,0.9202630769230769,2010,Fall,42,o-g-s,RC
142,0.9454107604166668,2010,Fall,43,Biopower,OT
143,0.9132485481852316,2010,Fall,43,Biopower,RC
144,0.5995634501035195,2010,Fall,43,Coal,OT
145,0.9149738476785544,2010,Fall,43,Coal,RC
146,0.8918830288461539,2010,Fall,43,Nuclear,OT
147,0.9119578490094392,2010,Fall,43,Nuclear,RC
148,0.9583804244966444,2010,Fall,43,gas-CC,OT
149,0.9451977404181184,2010,Fall,43,gas-CC,RC
150,0.9595578916168294,2010,Fall,43,gas-CT,NONE
151,0.9136546507615712,2010,Fall,43,o-g-s,RC
152,0.9628450000000001,2010,Fall,44,gas-CT,NONE
153,0.9090060555862324,2010,Fall,44,o-g-s,RC
154,0.8989918701957094,2010,Fall,45,Coal,OT
155,0.8986446163788038,2010,Fall,45,Coal,RC
156,0.9510283730688538,2010,Fall,45,gas-CC,RC
157,0.9526210259698622,2010,Fall,45,gas-CT,NONE
158,0.9000156166351115,2010,Fall,45,o-g-s,RC
159,1.0,2010,Fall,46,Biopower,OT
160,0.9068441764705882,2010,Fall,46,Biopower,RC
161,0.9097697190717154,2010,Fall,46,Coal,OT
162,0.9607381647940072,2010,Fall,46,gas-CT,NONE
163,0.9075776542817822,2010,Fall,46,o-g-s,RC
164,0.8697802186311788,2010,Fall,47,gas-CC,DC
165,0.9299010203389828,2010,Fall,47,gas-CT,NONE
166,0.9124065907859079,2010,Fall,47,o-g-s,RC
167,0.916564560671463,2010,Fall,48,Coal,RC
168,0.9399791517857145,2010,Fall,48,gas-CC,RC
169,0.9306929976822821,2010,Fall,48,gas-CT,NONE
170,0.9159971587301586,2010,Fall,48,o-g-s,RC
171,0.9014224259927798,2010,Fall,50,Coal,RC
172,0.9319544706562288,2010,Fall,50,gas-CC,RC
173,0.9216244944227804,2010,Fall,50,gas-CT,NONE
174,0.9032962220926845,2010,Fall,50,o-g-s,RC
175,0.9001723409158051,2010,Fall,51,Coal,RC
176,0.9322848249445121,2010,Fall,51,gas-CC,RC
177,0.9238688797468354,2010,Fall,51,gas-CT,NONE
178,0.8913038923076924,2010,Fall,51,o-g-s,OT
179,0.9000656071849236,2010,Fall,51,o-g-s,RC
180,0.8961922296544036,2010,Fall,52,Coal,RC
181,0.9318825700164745,2010,Fall,52,gas-CT,NONE
182,0.8956212454920148,2010,Fall,52,o-g-s,RC
183,0.8823036969696969,2010,Fall,53,Coal,OT
184,0.8957440999000534,2010,Fall,53,Coal,RC
185,0.8991213012765957,2010,Fall,53,Nuclear,RC
186,0.9334069261993908,2010,Fall,53,gas-CT,NONE
187,0.8993687980341921,2010,Fall,53,o-g-s,RC
188,0.8806948937792787,2010,Fall,54,Coal,OT
189,0.8983582190635452,2010,Fall,54,Coal,RC
190,0.9284842931034484,2010,Fall,54,gas-CC,OT
191,0.9379248510499756,2010,Fall,54,gas-CC,RC
192,0.9393827957191137,2010,Fall,54,gas-CT,NONE
193,0.8989024428399516,2010,Fall,54,o-g-s,RC
194,0.9018036612262902,2010,Fall,55,Coal,RC
195,0.9377178767676768,2010,Fall,55,gas-CC,RC
196,0.9383506280005188,2010,Fall,55,gas-CT,NONE
197,0.8978323148148147,2010,Fall,55,o-g-s,RC
198,0.9102290757575756,2010,Fall,56,Coal,RC
199,0.9278344363636364,2010,Fall,56,gas-CC,RC
200,0.9292128389830508,2010,Fall,56,gas-CT,NONE
201,0.9020393924932976,2010,Fall,57,Coal,OT
202,0.8991999159218725,2010,Fall,57,Coal,RC
203,0.9247140799895268,2010,Fall,57,gas-CC,RC
204,0.8966091160968661,2010,Fall,57,o-g-s,RC
205,0.8869268879371877,2010,Fall,58,Biopower,RC
206,0.8798628826530612,2010,Fall,58,Coal,OT
207,0.8869305727654081,2010,Fall,58,Coal,RC
208,0.8813459778312425,2010,Fall,58,Nuclear,OT
209,0.8807521702786377,2010,Fall,58,Nuclear,RC
210,0.5574535519125683,2010,Fall,58,gas-CC,OT
211,0.9242083750390994,2010,Fall,58,gas-CC,RC
212,0.9320905718319802,2010,Fall,58,gas-CT,NONE
213,0.8204628112030184,2010,Fall,58,o-g-s,OT
214,0.8865741274982083,2010,Fall,58,o-g-s,RC
215,0.9328899647577094,2010,Fall,59,gas-CC,RC
216,0.9298053415841584,2010,Fall,59,gas-CT,NONE
217,0.907169523809524,2010,Fall,59,o-g-s,RC
218,0.8989838123076923,2010,Fall,60,Coal,RC
219,0.9377655940298508,2010,Fall,60,gas-CC,RC
220,0.9236974324324324,2010,Fall,60,gas-CT,NONE
221,0.8948280425646171,2010,Fall,61,gas-CC,DC
222,0.9400710284049908,2010,Fall,61,gas-CC,RC
223,0.9306794,2010,Fall,61,gas-CT,NONE
224,0.9101347990657565,2010,Fall,62,gas-CC,DC
225,0.938131376490158,2010,Fall,62,gas-CC,RC
226,0.929096805882353,2010,Fall,62,gas-CT,NONE
227,0.8901547678571429,2010,Fall,62,o-g-s,RC
228,0.8890071407990124,2010,Fall,63,Coal,RC
229,0.8957679241666667,2010,Fall,63,Nuclear,RC
230,0.8520685251141553,2010,Fall,63,gas-CC,DC
231,0.923629636418924,2010,Fall,63,gas-CC,RC
232,0.9216080185648341,2010,Fall,63,gas-CT,NONE
233,0.9000673935251796,2010,Fall,63,o-g-s,OT
234,0.8974540934314926,2010,Fall,63,o-g-s,RC
235,0.8806100857819905,2010,Fall,64,Coal,RC
236,0.8636254201680672,2010,Fall,64,gas-CC,DC
237,0.3659997629640615,2010,Fall,64,gas-CC,RC
238,0.9240862316945604,2010,Fall,64,gas-CT,NONE
239,0.882303118367347,2010,Fall,64,o-g-s,OT
240,0.8855056445698167,2010,Fall,64,o-g-s,RC
241,0.8790195453692116,2010,Fall,65,Coal,RC
242,0.8772582770244091,2010,Fall,65,Nuclear,RC
243,0.8915144632900924,2010,Fall,65,gas-CC,DC
244,0.8631605714607754,2010,Fall,65,gas-CC,OT
245,0.8994718415579914,2010,Fall,65,gas-CC,RC
246,0.9228798454994006,2010,Fall,65,gas-CT,NONE
247,0.8939679559032717,2010,Fall,65,o-g-s,OT
248,0.8799097664114559,2010,Fall,65,o-g-s,RC
249,0.9212017701327814,2010,Fall,66,gas-CC,RC
250,0.9313773425034388,2010,Fall,66,gas-CT,NONE
251,0.8793673854571127,2010,Fall,66,o-g-s,OT
252,0.8816812494623655,2010,Fall,66,o-g-s,RC
253,0.8777634462528389,2010,Fall,67,Coal,RC
254,0.9005930968202408,2010,Fall,67,gas-CC,DC
255,0.915963612560396,2010,Fall,67,gas-CC,RC
